1000		95739.9181684933
1019.6		98574.066449133
1059.6		104395.130725807
1099.6		110274.377721603
1099.8		110303.926013514
1100		110333.474305425
1100.2		110363.073367597
1100.4		110392.621659507
1140.4		116345.891695864
1180.4		122390.446661525
1220.4		128548.270079511
1300		141240.073779343
1300.2		141272.820597698
1300.4		141305.567416053
1300.6		141338.365004668
1300.8		141371.111823023
1301		141403.909411639
1301.2		141436.707000254
1301.4		141469.50458887
1301.6		141502.302177486
1301.8		141535.099766101
1302		141567.897354717
1302.2		141600.694943333
1302.4		141633.492531948
1302.6		141666.340890825
1302.8		141699.138479441
1303		141731.986838318
1303.2		141764.835197194
1303.4		141797.683556071
1303.6		141830.531914948
1303.8		141863.380273824
1304		141896.228632701
1304.2		141929.076991578
1304.4		141961.925350454
1304.6		141994.824479592
1304.8		142027.672838469
1305		142060.571967607
1305.2		142093.420326483
1305.4		142126.319455621
1305.6		142159.218584759
1305.8		142192.117713896
1306		142225.016843034
1306.2		142257.915972172
1306.4		142290.865871571
1306.6		142323.765000708
1306.8		142356.714900107
1307		142389.614029245
1307.2		142422.563928643
1307.4		142455.513828042
1307.6		142488.463727441
1307.8		142521.41362684
1308		142554.363526238
1308.2		142587.313425637
1308.4		142620.263325036
1308.6		142653.263994696
1308.8		142686.213894094
1309		142719.214563754
1309.2		142752.164463153
1309.4		142785.165132812
1309.6		142818.165802472
1309.8		142851.166472132
1310		142884.167141792
1310.2		142917.167811451
1310.4		142950.168481111
1310.6		142983.219921032
1310.8		143016.220590692
1311		143049.272030612
1311.2		143082.272700272
1311.4		143115.324140193
1311.6		143148.375580114
1311.8		143181.427020034
1312		143214.478459955
1312.2		143247.529899876
1312.4		143280.632110058
1312.6		143313.683549979
1312.8		143346.734989899
1313		143379.837200081
1313.2		143412.939410263
1313.4		143445.990850184
1313.6		143479.093060365
1313.8		143512.195270547
1314		143545.297480729
1314.2		143578.450461172
1314.4		143611.552671353
1314.6		143644.654881535
1314.8		143677.807861978
1315		143710.91007216
1315.2		143744.063052603
1315.4		143777.216033045
1315.6		143810.369013488
1315.8		143843.521993931
1316		143876.674974374
1316.2		143909.827954816
1316.4		143942.980935259
1316.6		143976.184685963
1316.8		144009.337666406
1317		144042.54141711
1317.2		144075.694397553
1317.4		144108.898148256
1317.6		144142.10189896
1317.8		144175.305649664
1318		144208.509400368
1318.2		144241.713151071
1318.4		144274.967672036
1318.6		144308.17142274
1318.8		144341.425943705
1319		144374.629694409
1319.2		144407.884215374
1319.4		144441.138736338
1319.6		144474.393257303
1319.8		144507.647778268
1320		144540.902299233
1320.2		144574.156820198
1320.4		144607.462111423
1320.6		144640.716632388
1320.8		144674.021923614
1321		144707.276444579
1321.2		144740.581735805
1321.4		144773.887027031
1321.6		144807.192318256
1321.8		144840.497609482
1322		144873.802900708
1322.2		144907.108191934
1322.4		144940.464253421
1322.6		144973.769544647
1322.8		145007.125606133
1323		145040.48166762
1323.2		145073.786958846
1323.4		145107.143020333
1323.6		145140.49908182
1323.8		145173.855143307
1324		145207.261975055
1324.2		145240.618036541
1324.4		145273.974098028
1324.6		145307.380929776
1324.8		145340.787761524
1325		145374.143823011
1325.2		145407.550654759
1325.4		145440.957486507
1325.6		145474.364318254
1325.8		145507.771150002
1326		145541.228752011
1326.2		145574.635583759
1326.4		145608.093185768
1326.6		145641.500017516
1326.8		145674.957619525
1327		145708.415221534
1327.2		145741.872823542
1327.4		145775.330425551
1327.6		145808.78802756
1327.8		145842.245629569
1328		145875.703231578
1328.2		145909.211603848
1328.4		145942.669205857
1328.6		145976.177578127
1328.8		146009.685950396
1329		146043.194322666
1329.2		146076.702694936
1329.4		146110.211067206
1329.6		146143.719439476
1329.8		146177.227811746
1330		146210.736184016
1330.2		146244.295326547
1330.4		146277.854469078
1330.6		146311.362841348
1330.8		146344.921983878
1331		146378.481126409
1331.2		146412.04026894
1331.4		146445.599411471
1331.6		146479.209324263
1331.8		146512.768466794
1332		146546.327609325
1332.2		146579.937522117
1332.4		146613.547434909
1332.6		146647.157347701
1332.8		146680.716490232
1333		146714.326403023
1333.2		146747.987086076
1333.4		146781.596998868
1333.6		146815.20691166
1333.8		146848.867594713
1334		146882.477507505
1334.2		146916.138190558
1334.4		146949.798873611
1334.6		146983.459556664
1334.8		147017.120239717
1335		147050.78092277
1335.2		147084.441605823
1335.4		147118.102288876
1335.6		147151.81374219
1335.8		147185.474425243
1336		147219.185878557
1336.2		147252.89733187
1336.4		147286.558014923
1336.6		147320.269468237
1336.8		147354.031691812
1337		147387.743145126
1337.2		147421.45459844
1337.363	147449.022850171
1337.365	160326.087232447
1337.376	211179.306853934
1339.376	211516.421387074
1339.537	211543.481936195
1339.697	211570.542485316
1371.822	216932.288210587
1403.947	222210.770707793
1436.072	227425.130365338
1500		237670.416727379
1700		269277.087330434
1900		300721.242327979
2100		332161.386474904
2200		347881.433163236

